track_id,class,n_points,lifetime_frames,turning_points,A,B,C,rmse,normalized_rmse,r2,endpoint_ratio,tau_apex,apex_inside
58,B,7,7,0,-0.28036187974955246,-0.6589048376507194,6.550313191701486,0.03877076637968027,0.03466704376382476,0.9906939083304599,1.0395461690768082,-1.1750970535639862,False
59,E,7,7,2,0.10102791330544655,0.0030030599543825033,5.8677860240385105,0.06501087585954665,0.26343939933071975,0.38675809512813764,0.6136579700342277,-0.014862525890755996,False
60,D,19,19,1,-0.42112292144140695,1.9624910674017917,4.879241780361046,0.11196350828206977,0.04675195900704937,0.9733295261874421,1.7834476108665804,2.330069164467035,True
61,D,15,15,1,-0.5976374949222334,1.363847367211265,6.817718677551232,0.18331525626052106,0.07891611370589174,0.9251159013191087,1.6824858566646048,1.1410322970019924,True
62,A,20,20,1,-0.9034747226521237,3.2176454212882786,6.434140784188058,0.036376434332603076,0.00977100906190242,0.9989060042040585,0.7973274544185011,1.7807058352684038,True
63,E,4,4,0,-0.5944129875900189,2.688019640923675,5.9349959673858,0.009241485522696373,0.006645967432851957,0.999686483142987,1.0,2.2610707513491173,False
64,E,22,22,2,-0.6869976635343714,2.7317053085725758,6.330379733096329,0.397377645289805,0.11646572563314665,0.8885446211835417,1.8223802734011265,1.98814745200069,True
65,D,20,20,1,-0.6970144672083861,3.0273564702743743,5.399564024766575,0.23990259601348635,0.07149417435698219,0.9339805519403996,1.5106994232745568,2.1716597091587246,True
66,E,13,13,2,-0.3693338134522368,1.4129467220832825,6.365323118183959,0.12105118592423436,0.07526855716236049,0.9280021397608365,1.0348164077629487,1.9128315234342987,True
68,D,22,22,1,-0.700695240836165,2.7740342472344985,6.222421135274971,0.2440924485096942,0.07624432375965916,0.9466740196180272,1.4063268378652547,1.97948700488114,True
69,A,14,14,1,-0.7930765603255123,1.8273668378028978,6.167201766126313,0.020741063724957407,0.012425506443923352,0.9982479635442215,1.0337054370931618,1.152074673000592,True
70,A,11,11,1,-0.8007581406776304,1.327257649799838,5.598369899593559,0.010341230622506315,0.009426437939363716,0.9990297410420438,0.9885098913480387,0.8287506441562148,True
72,C,15,15,1,-0.3698405362113284,1.205621144856512,5.775760081121419,0.08948025551084457,0.07863091191521822,0.9108296127013341,2.1789022875040045,1.62992023157734,True
73,B,7,7,0,0.6728089488832961,-2.5410256154537567,7.126812238505509,0.15017202872764035,0.071064681161476,0.9616865552170043,0.7425401119540389,1.8883708515405888,False
74,E,3,3,0,-1.0773345798876406,1.129128952650046,6.58367415955662,5.1534762192563505e-15,1.8452874733826245e-14,1.0,1.0,0.5240382021190703,False
75,E,24,24,3,-0.23916226309262906,1.1626300202592146,5.489974268164029,0.21261873282025656,0.1226884011685694,0.8338620366885643,0.8663712947810549,2.430630161349746,True
77,D,9,9,1,0.048721315698206855,-1.6728792003522697,8.337871131450184,0.1670808686856077,0.0734450141925184,0.960480693954481,1.1111479258578072,17.167836873644184,False
78,A,15,15,1,-0.8724371221170888,2.3714890245342657,6.533445072626737,0.03952448279923993,0.02117394674066848,0.9954093133293777,0.8305045915883893,1.3591174449222891,True
79,D,5,5,1,1.1106933198965532,-1.492771560976241,5.816204761124979,0.09559815193234615,0.15970576269715264,0.7499395115772592,1.0,0.6719998825216998,True
80,C,9,9,1,-0.4695628174746851,0.778515873563918,5.30140370947433,0.04445041750549755,0.12170916813086842,0.8613095483096455,2.287448619529322,0.8289794725983485,True
81,A,7,7,1,-0.8852480890481186,0.869404262549328,6.299697124069505,0.00272600068700092,0.006172875736020503,0.9996462554204538,0.4347054256911591,0.49105119418228454,True
82,E,4,4,1,3.4897496077237324,-3.4252158923463236,6.15668277731631,0.07346862194104353,0.08605339095356103,0.9410489590593236,1.0,0.49075381866444245,True
83,E,38,38,3,-0.00856949306764988,-0.09340238066651356,7.43485815346991,0.6211702531580735,0.2211983968733879,0.23668187074105784,1.435675754459388,-5.449702796254695,False
84,E,17,17,2,-0.5972600407313476,2.2208004528673255,4.810734849625549,0.3574606622097075,0.15669915776140916,0.7745556191392466,1.1134747366916615,1.8591570684587782,True
85,D,8,8,1,-0.40280019957872665,0.4301096045836674,5.801674921478697,0.11188774352362431,0.22182186544203206,0.6137925149214187,1.4553864867406034,0.5338994432394804,True
86,D,19,19,1,-0.35279106589566833,0.9028702188180706,6.587140789749004,0.07524122392568257,0.03777617490937403,0.9817161420461266,0.7708167838804947,1.2796103786328286,True
87,E,3,3,0,0.36790755937662956,1.012938407076278,5.246476035896302,4.1023203976182695e-15,8.840475107701631e-15,1.0,1.0,-1.3766208131093682,False
88,E,11,11,2,-1.2681375736510667,3.2563500814292015,5.066773474240955,0.36680137714596855,0.1742741778021651,0.7520608875308519,0.8927808934711,1.2839104167751754,True
89,A,16,16,1,-0.8077480803093214,2.446910244631443,5.409899815028679,0.02758237395863754,0.014709562150610254,0.9979653768225634,0.6494438394116282,1.5146493716793583,True
90,A,11,11,1,-0.7827272092136494,1.0055689784798991,6.249048165054592,0.016914712582854114,0.011788668737157898,0.998584562442831,1.4428505636878317,0.6423495737998702,True
92,D,22,22,1,-0.4945120179092901,2.2452773645788735,6.93356782511687,0.22615830951945484,0.07668819301461384,0.9280121715839593,1.2462670735803225,2.2701949429576165,True
